No of Blocks,Label,Time
21,20-49,0.0099
19,more than 50,0.0095
21,0-19,0.01
23,more than 50,0.0111
20,20-49,0.0092
18,20-49,0.0089
19,more than 50,0.0088
20,20-49,0.009
19,20-49,0.0096
18,20-49,0.0087
20,20-49,0.0097
21,20-49,0.0102
20,more than 50,0.0095
21,20-49,0.0099
21,20-49,0.0104
22,20-49,0.0107
19,20-49,0.009
16,0-19,0.0073
22,more than 50,0.0104
17,0-19,0.0079
21,more than 50,0.0104
21,0-19,0.0099
21,0-19,0.0103
23,0-19,0.0117
20,more than 50,0.0089
19,more than 50,0.0095
21,more than 50,0.0109
20,more than 50,0.0098
18,0-19,0.0087
19,20-49,0.0096
20,more than 50,0.0095
19,20-49,0.0092
20,more than 50,0.0098
22,more than 50,0.011
21,20-49,0.0103
19,0-19,0.0096
19,20-49,0.0093
19,0-19,0.0088
19,0-19,0.0091
18,0-19,0.0088
22,0-19,0.0109
22,0-19,0.0091
19,more than 50,0.0092
20,20-49,0.0097
18,0-19,0.0089
19,0-19,0.0089
19,0-19,0.0093
23,0-19,0.0093
23,0-19,0.0104
19,more than 50,0.0093
18,0-19,0.0082
18,20-49,0.0082
23,20-49,0.0115
19,more than 50,0.0083
16,more than 50,0.0076
18,more than 50,0.0077
21,more than 50,0.0093
20,0-19,0.0094
17,more than 50,0.008
18,more than 50,0.009
20,more than 50,0.0096
18,20-49,0.008
20,0-19,0.0096
20,more than 50,0.0095
23,more than 50,0.0111
22,20-49,0.0104
24,20-49,0.0122
20,more than 50,0.0093
24,0-19,0.0279
24,0-19,0.0111
18,0-19,0.0087
21,more than 50,0.0101
25,more than 50,0.0119
20,0-19,0.0087
17,more than 50,0.008
24,0-19,0.0114
18,20-49,0.0093
17,20-49,0.0079
18,0-19,0.0094
20,0-19,0.0093
17,20-49,0.0088
18,more than 50,0.0095
20,20-49,0.0103
19,20-49,0.0094
18,20-49,0.0098
25,more than 50,0.0135
16,20-49,0.0084
20,0-19,0.0108
23,more than 50,0.0131
17,0-19,0.0086
20,0-19,0.011
19,20-49,0.01
26,20-49,0.0148
22,more than 50,0.0106
18,more than 50,0.0094
20,0-19,0.0102
21,more than 50,0.0105
19,20-49,0.0089
18,20-49,0.0088
20,0-19,0.0101
18,0-19,0.0103
20,20-49,0.0102
21,0-19,0.0108
18,more than 50,0.009
19,20-49,0.0101
21,more than 50,0.0109
22,more than 50,0.0114
20,0-19,0.0095
18,20-49,0.0095
21,0-19,0.0108
20,more than 50,0.0101
17,0-19,0.0085
21,20-49,0.0108
19,20-49,0.0085
20,more than 50,0.01
20,more than 50,0.0096
18,more than 50,0.0083
20,more than 50,0.0093
18,more than 50,0.0087
21,20-49,0.0101
22,0-19,0.0104
17,more than 50,0.0087
18,20-49,0.0082
23,20-49,0.0099
18,more than 50,0.009
20,20-49,0.0083
20,20-49,0.0093
15,0-19,0.0063
25,more than 50,0.0122
23,0-19,0.0111
17,20-49,0.0076
18,20-49,0.0084
19,0-19,0.0086
17,0-19,0.0085
20,0-19,0.0106
20,20-49,0.0093
20,0-19,0.009
17,20-49,0.0069
19,more than 50,0.0088
23,0-19,0.0092
24,0-19,0.0101
19,20-49,0.0087
20,more than 50,0.0097
21,0-19,0.01
19,0-19,0.0084
23,more than 50,0.0111
18,0-19,0.0087
22,20-49,0.0093
19,more than 50,0.0098
21,0-19,0.01
21,more than 50,0.0101
20,20-49,0.0101
20,20-49,0.0099
21,more than 50,0.0099
20,more than 50,0.0096
18,0-19,0.0087
25,20-49,0.0124
24,more than 50,0.0095
17,more than 50,0.0079
20,20-49,0.0082
21,more than 50,0.0085
18,0-19,0.0084
17,20-49,0.0082
17,more than 50,0.0086
17,20-49,0.0082
19,more than 50,0.009
23,0-19,0.0094
16,0-19,0.0069
19,more than 50,0.0079
20,0-19,0.0087
21,more than 50,0.0106
19,0-19,0.0094
20,20-49,0.0092
19,more than 50,0.0096
22,0-19,0.0111
18,more than 50,0.0083
19,more than 50,0.0092
19,more than 50,0.0093
19,more than 50,0.0099
19,more than 50,0.0086
17,more than 50,0.0081
20,20-49,0.0099
20,20-49,0.0096
18,20-49,0.0085
17,0-19,0.0079
18,20-49,0.0085
20,more than 50,0.0098
22,0-19,0.0105
16,0-19,0.0078
20,more than 50,0.0089
23,20-49,0.0108
21,20-49,0.0097
21,0-19,0.0101
19,0-19,0.0077
24,0-19,0.011
17,more than 50,0.0105
19,more than 50,0.0094
22,20-49,0.0094
19,0-19,0.0089
22,0-19,0.0115
21,0-19,0.0097
19,more than 50,0.0088
20,20-49,0.0086
22,more than 50,0.0107
20,20-49,0.009
16,20-49,0.0076
23,0-19,0.0108
17,20-49,0.0084
23,more than 50,0.0109
20,0-19,0.0092
19,20-49,0.0088
20,20-49,0.0091
20,0-19,0.0091
17,0-19,0.0079
21,0-19,0.0104
20,0-19,0.0097
22,more than 50,0.0104
20,20-49,0.0097
20,more than 50,0.0098
19,20-49,0.0091
20,0-19,0.0096
20,0-19,0.0099
23,more than 50,0.0107
22,more than 50,0.0107
21,more than 50,0.0101
18,0-19,0.009
19,20-49,0.0081
16,20-49,0.0074
21,more than 50,0.0099
19,0-19,0.0093
20,20-49,0.0092
17,more than 50,0.0084
21,more than 50,0.0086
17,0-19,0.0082
19,20-49,0.0087
18,20-49,0.0096
22,0-19,0.0089
18,20-49,0.009
18,20-49,0.0086
19,more than 50,0.0087
21,0-19,0.0099
16,0-19,0.0075
20,0-19,0.0095
24,more than 50,0.0098
25,20-49,0.0121
20,0-19,0.0098
18,0-19,0.0073
20,0-19,0.0092
17,more than 50,0.0078
20,20-49,0.0095
18,more than 50,0.0088
26,more than 50,0.0124
22,more than 50,0.0105
18,more than 50,0.0088
19,0-19,0.0075
19,0-19,0.008
22,20-49,0.0104
20,0-19,0.009
20,0-19,0.0086
24,more than 50,0.012
18,20-49,0.0078
26,20-49,0.0125
19,20-49,0.0084
17,20-49,0.0083
19,more than 50,0.0087
20,20-49,0.0093
23,more than 50,0.0092
18,20-49,0.0087
21,more than 50,0.0102
24,20-49,0.0114
18,more than 50,0.0084
20,more than 50,0.0097
19,20-49,0.0085
17,0-19,0.0074
23,20-49,0.0109
17,20-49,0.008
25,20-49,0.0111
19,more than 50,0.0089
19,more than 50,0.009
22,more than 50,0.0106
18,more than 50,0.0082
18,20-49,0.0089
18,more than 50,0.0087
17,0-19,0.0083
19,20-49,0.009
18,20-49,0.0071
22,0-19,0.0107
22,20-49,0.011
18,more than 50,0.0077
22,20-49,0.0102
21,0-19,0.0093
22,more than 50,0.0095
17,more than 50,0.008
24,0-19,0.0115
20,20-49,0.009
19,0-19,0.0094
22,more than 50,0.0104
19,20-49,0.0098
20,more than 50,0.0096
20,20-49,0.0092
21,more than 50,0.0099
20,more than 50,0.0097
19,0-19,0.009
17,20-49,0.0081
19,20-49,0.0087
19,0-19,0.0153
16,20-49,0.0092
18,0-19,0.01
19,more than 50,0.0096
19,20-49,0.0104
19,20-49,0.0098
21,20-49,0.0111
20,more than 50,0.0102
19,0-19,0.01
19,more than 50,0.0096
17,20-49,0.009
19,20-49,0.0099
20,more than 50,0.0105
17,20-49,0.0087
19,20-49,0.0098
20,more than 50,0.0102
25,0-19,0.0133
20,20-49,0.0096
20,more than 50,0.0096
20,0-19,0.0096
20,more than 50,0.0097
22,20-49,0.01
17,more than 50,0.0071
17,20-49,0.0077
21,more than 50,0.0098
19,20-49,0.0085
20,more than 50,0.0102
16,20-49,0.0082
23,more than 50,0.0114
20,more than 50,0.0094
19,0-19,0.0095
17,0-19,0.0076
18,20-49,0.0087
23,0-19,0.0098
19,0-19,0.0096
18,more than 50,0.0085
18,20-49,0.0088
17,0-19,0.0086
19,20-49,0.0095
22,0-19,0.0092
19,20-49,0.0092
20,more than 50,0.0096
20,20-49,0.0096
22,20-49,0.0102
21,more than 50,0.0097
19,20-49,0.0091
22,0-19,0.0106
21,20-49,0.0099
22,more than 50,0.0103
24,20-49,0.0109
18,more than 50,0.0083
21,20-49,0.0097
18,more than 50,0.0089
21,20-49,0.0098
24,20-49,0.0112
21,more than 50,0.0099
18,20-49,0.0077
20,more than 50,0.0093
